sequence,concept,site_id,lookup_key,subject,family,prior_priority,current_disposition,current_status,mathematical_and_pedagogical_review,required_rework,acceptance_gate,recommended_visualisation,source_alignment,implementation_epic,estimated_effort,final_disposition,delivery_evidence
118,Module axioms,m3220-modules,"navTitle exact match: ""Module axioms""",Modules & representations,Modules & linear actions,P0,CORRECTED_RETAIN_GATE,The current source and dedicated regression tests encode the main correction. Pedagogical depth still needs improvement.,The warning “Only units act invertibly” is false for a particular module: 2 is a nonunit of ℤ but acts invertibly on ℤ/3ℤ.,Replace it with “Units always act invertibly; nonunits may act invertibly on a particular module.” Contrast a general module with the regular module. Teach scalar action through its homomorphism into additive endomorphisms.,Verify the counterexample and distinguish a unit of R from an invertible operator on M.,Scalar-action homomorphism explorer contrasting the regular module with Z/3Z.,MH3220; URECA Y2,E6-modules-representations,M,guided lesson and mathematical laboratory delivered,Issue #55; lib/algebra/guided-lessons.json#m3220-modules; tests/module-action-board.test.mjs; tests/browser/module-action-board.spec.mjs
119,Submodules & quotients,m3220-submodules,"navTitle exact match: ""Submodules & quotients""",Modules & representations,Modules & linear actions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The operator-as-F[X]-module viewpoint is valuable, but arrives before polynomial action has been built.",First work additive subgroups stable under scalars; then define p(X)·v=p(T)v and explain invariant subspaces. Prove quotient scalar multiplication is representative-independent and add the module isomorphism theorem.,Find a submodule for one operator and explain why invariance under one map differs from invariance under a whole algebra.,Partition/fiber view synchronized with the quotient operation and the relevant commuting map.,MH3220; URECA Y2,E6-modules-representations,M,guided lesson and mathematical laboratory delivered,Issue #55; lib/algebra/guided-lessons.json#m3220-submodules; tests/module-action-board.test.mjs; tests/browser/module-action-board.spec.mjs
120,Maps & annihilators,m3220-annihilator,"navTitle exact match: ""Maps & annihilators""",Modules & representations,Modules & linear actions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Kernels, images and annihilators should not be compressed into an inventory of names.","Work maps between cyclic ℤ-modules and between operator modules. Distinguish the annihilator of one vector from that of the entire module, including the noncommutative one-sided/two-sided issue.","Compute an annihilator, kernel and image and identify the quotient supplied by the first isomorphism theorem.","Action-on-vectors/subspaces view with invariant-subspace, kernel, image and relation panels.",MH3220; URECA Y2,E6-modules-representations,M,guided lesson and mathematical laboratory delivered,Issue #55; lib/algebra/guided-lessons.json#m3220-annihilator; tests/module-action-board.test.mjs; tests/browser/module-action-board.spec.mjs
121,Module chains,m3220-module-chains,"navTitle exact match: ""Module chains""",Modules & representations,Modules & linear actions,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.",Chain conditions and finite-length reasoning need an explicit definition of module length and a clear dependency order.,"Define simple modules, composition series, Noetherian and Artinian modules separately. Show finite-dimensional examples and an example separating chain conditions from finite generation. Audit use of Artinian ring structure in proofs.","Explain why finite length supplies both chain conditions, and identify which converse hypotheses are needed.","Action-on-vectors/subspaces view with invariant-subspace, kernel, image and relation panels.",MH3220; URECA Y2,E6-modules-representations,L,pending,
122,Linear actions,ureca-linear-action,"navTitle exact match: ""Linear actions""",Modules & representations,Modules & linear actions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The left-action and column-vector convention is clearly stated, including translation from the cited textbook’s opposite convention. Preserve this strength.","Build the passage from a set action to a linear action slowly, display matrices on a chosen basis, and prove the homomorphism/action equivalence explicitly.",Verify a representation and explain why its matrices must be invertible.,"Action-on-vectors/subspaces view with invariant-subspace, kernel, image and relation panels.",MH3220; URECA Y2,E6-modules-representations,M,guided lesson and V15 laboratory delivered,"ureca-linear-action authored guided lesson, competency checks and D8 field/generator laboratory; tests/invariant-intertwiner.test.mjs and tests/browser/invariant-intertwiner.spec.mjs."
123,Permutation modules,ureca-permutation-module,"navTitle exact match: ""Permutation modules""",Modules & representations,Modules & linear actions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",Distinguishing the cube’s spatial dimension from the dimension of its feature permutation module is excellent. The basis construction needs to be visible.,"Replace each labelled point by an independent basis vector, then move a nontrivial linear combination. Display the full matrix or exact basis permutation when the dimension exceeds three.","Explain why eight cube vertices give an eight-dimensional module, not a three-dimensional one.","Action-on-vectors/subspaces view with invariant-subspace, kernel, image and relation panels.",MH3220; URECA Y2,E6-modules-representations,M,guided lesson and V15 laboratory delivered,"ureca-permutation-module authored guided lesson, competency checks and D8 field/generator laboratory; tests/invariant-intertwiner.test.mjs and tests/browser/invariant-intertwiner.spec.mjs."
124,Invariant subspaces,ureca-invariant-subspaces,"navTitle exact match: ""Invariant subspaces""",Modules & representations,Modules & linear actions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The constant-line/sum-zero decomposition and characteristic-three warning are strong. The lesson needs to make subspace stability more concrete.,"Show the projection formulas, an adapted basis and the matrices of generators in that basis. Contrast pointwise fixed vectors with a subspace whose individual vectors move.",Check invariance under a generating set and prove the direct-sum decomposition.,"Action-on-vectors/subspaces view with invariant-subspace, kernel, image and relation panels.",MH3220; URECA Y2,E6-modules-representations,M,guided lesson and V15 laboratory delivered,"ureca-invariant-subspaces authored guided lesson, competency checks and D8 field/generator laboratory; tests/invariant-intertwiner.test.mjs and tests/browser/invariant-intertwiner.spec.mjs."
125,Intertwiners,ureca-intertwiners,"navTitle exact match: ""Intertwiners""",Modules & representations,Modules & linear actions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The text correctly requires one fixed change-of-basis map for every group element. The shared representation lab does not actually solve for or exhibit that map.,"Display an explicit T and solve Tρ_V(g)=ρ_W(g)T on generators. Show its kernel and image, and compare an invertible basis change with a noninvertible equivariant projection.",Verify one intertwiner across all generators and explain why element-by-element conjugators are insufficient.,"Action-on-vectors/subspaces view with invariant-subspace, kernel, image and relation panels.",MH3220; URECA Y2,E6-modules-representations,M,guided lesson and V15 laboratory delivered,"ureca-intertwiners authored guided lesson, competency checks and D8 field/generator laboratory; tests/invariant-intertwiner.test.mjs and tests/browser/invariant-intertwiner.spec.mjs."
126,Cyclic eigenvalues,ureca-cyclic-eigenvalues,"navTitle exact match: ""Cyclic eigenvalues""",Modules & representations,Modules & linear actions,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The minimal-polynomial proof over ℂ is sound. Eigenvalues alone do not teach the decomposition or its field dependence.,"Calculate eigenvectors, multiplicities and character values for one cyclic restriction. Explain why Xᵐ−1 has distinct roots here and how modular characteristic can invalidate the argument.",Decompose the C₄ restriction and explain why an absent root of unity is not a contradiction.,"Concept-specific modules & linear actions model with prediction, invariant readout, counterexample and theorem debrief.",MH3220; URECA Y2,E6-modules-representations,M,pending,
127,Schur’s lemma,odyssey-schur,"navTitle exact match: ""Schur’s lemma""",Modules & representations,Characters & decomposition,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",This is one of the more complete short proofs. Its two conclusions have different hypotheses and should be visually separated.,"Keep the kernel/image proof, then separately prove scalar endomorphisms over an algebraically closed field in finite dimension. Work a real irreducible example with endomorphism algebra larger than ℝ.",State which version applies and show precisely where an eigenvalue is used.,"Representation/character decomposition lab with trace, invariant subspaces, inner products and multiplicities.",MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
128,Character tables,odyssey-character-table,"navTitle exact match: ""Character tables""",Modules & representations,Characters & decomposition,P0,CORRECTED_RETAIN_GATE,The current source and dedicated regression tests encode the main correction. Pedagogical depth still needs improvement.,The S₃ table and weighted inner products are sound. A deeper paragraph inaccurately calls all characters of G/N “the irreducibles” with the relevant kernels. The breadth of the extra tables is not matched by derivations.,"Correct this to a bijection of irreducible characters by inflation. Build S₃ from representations, derive row/column orthogonality with stated prerequisites, then teach S₄, D₄/Q₈ and A₅ as separate worked constructions.","Construct a table rather than only use a supplied one, and distinguish an actual character, an irreducible character and a virtual character.",Construct-a-table workflow: conjugacy classes → known reps → orthogonality → unknown rows.,MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
129,Induction,odyssey-induction,"navTitle exact match: ""Induction""",Modules & representations,Characters & decomposition,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","The coset-copy/tensor construction is correct, including the warning that the copies are not G-submodules. It needs tensor products and restriction first.",Work an actual transversal and all generator matrices for induction from C₂ to S₃. Derive the induced-character formula by traces of fixed coset blocks. Move the GL₂(𝔽q) classification to a distinct advanced route.,Follow one vector across coset copies and explain the correction by the subgroup element.,Coset-basis induction visualizer and restricted-character comparison.,MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,L,pending,
130,Frobenius reciprocity,odyssey-frobenius,"navTitle exact match: ""Frobenius reciprocity""",Modules & representations,Characters & decomposition,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.",The Hom-space proof is comparatively strong and field scope is handled well. A complete multiplicity computation would make it usable.,"Work both sides for induction from a subgroup of S₃, then derive the character statement under finite complex hypotheses. Keep restriction and induction clearly distinct rather than seeming inverse operations.",Compute a decomposition using restriction data and verify its total dimension.,Two-way Hom-space dimension calculator tied to an induction/restriction diagram.,MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,L,pending,
131,Square modes,representations-square-modes,"navTitle exact match: ""Square modes""",Modules & representations,Characters & decomposition,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The 1+1+2 decomposition is mathematically strong and visually well motivated. The coefficient projections and matrix actions should be made explicit.,"Decompose an arbitrary four-weight vector, display the generator matrices on each piece and prove invariance. Contrast irreducibility for the square group with restriction to its cyclic rotation subgroup.",Recover the original vector from its three components and explain why a moving pattern can span an invariant space.,"Representation/character decomposition lab with trace, invariant subspaces, inner products and multiplicities.",MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
132,Real & complex,representations-real-complex,"navTitle exact match: ""Real & complex""",Modules & representations,Characters & decomposition,P0,CORRECTED_RETAIN_GATE,The current source and dedicated regression tests encode the main correction. Pedagogical depth still needs improvement.,"The text’s irreducible real two-dimensional C₃ rotation is correct, but the cyclic lab defaults to a three-dimensional C₄ action and always includes a fixed axis. It ignores the requested field toggle.","Implement the actual two-dimensional C₃ example and its complex eigenlines, or explicitly separate the ambient three-dimensional illustration from the representation being classified.","The selected group, field, dimension and irreducibility claim must refer to the same object.",C3 real plane rotation with complex eigenline toggle and irreducibility explanation.,MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
133,Maschke,representations-maschke,"navTitle exact match: ""Maschke""",Modules & representations,Characters & decomposition,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The averaged-projection proof and modular Jordan-block counterexample are good. Averaging vectors onto fixed points is not the same experiment as averaging an arbitrary projection onto an arbitrary submodule.,"Show a non-equivariant projection P, its conjugates, their average, and the invariant kernel of the result. Demonstrate the characteristic-p obstruction directly.","Verify the averaged map is idempotent, has image W and commutes with the action.","Representation/character decomposition lab with trace, invariant subspaces, inner products and multiplicities.",MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
134,Traces & characters,representations-characters,"navTitle exact match: ""Traces & characters""",Modules & representations,Characters & decomposition,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The cube character distinction is excellent, as is the correction that a fixed nonidentity scalar fiber need not be a subgroup. The current character lab centers on tensoring supplied rows.","Connect a selected cube motion to its spatial matrix, feature permutation and traces before doing table arithmetic. Derive the vertex decomposition 1⊕sgn⊕Std⊕(Std⊗sgn), and add a genuinely complex character example.","Explain what a character retains, why it is a class function and why equal dimensions do not imply equivalent representations.","Representation/character decomposition lab with trace, invariant subspaces, inner products and multiplicities.",MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
135,Integrality & character degrees,characters-integrality,"navTitle exact match: ""Integrality & character degrees""",Modules & representations,Characters & decomposition,P2,PARTIAL_ADVANCED,"Advanced material has a worked illustration or proof roadmap, but remains compressed and source-dependent.","The argument is plausible but relies on algebraic-integer closure, class-sum structure constants and Galois/norm facts not adequately taught here.","Give a prerequisite arithmetic lesson, write the orthogonality identity proving degree divisibility explicitly and derive the central-character scalar. Keep ordinary integers and algebraic integers distinct.",Explain why |G|/χ(1) is both rational and an algebraic integer.,"Representation/character decomposition lab with trace, invariant subspaces, inner products and multiplicities.",MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
136,Group algebras,ureca-group-algebra,"navTitle exact match: ""Group algebras""",Modules & representations,Algebras & tensor products,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The linear-extension equivalence is right, with a useful warning that a group element is not a field scalar.","Multiply two explicit linear combinations in a small group algebra, derive the regular module and compute an averaging idempotent. Separate invertibility of group basis elements from general algebra elements.",Translate between a representation and a unital group-algebra module in both directions.,"Concept-specific algebras & tensor products model with prediction, invariant readout, counterexample and theorem debrief.",MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
137,Tensor products & duals,tensor-products,"navTitle exact match: ""Tensor products & duals""",Modules & representations,Algebras & tensor products,P0,CORRECTED_RETAIN_GATE,The current source and dedicated regression tests encode the main correction. Pedagogical depth still needs improvement.,"The definition declares U a right R-module but writes (ru)⊗v=u⊗(rv). For a general noncommutative ring, ru is the wrong-sided, potentially undefined expression.","Correct the balancing relation to (ur)⊗v=u⊗(rv). State the universal property formally, build one tensor product by generators/relations and distinguish pure tensors from sums. Develop duals and Hom as a follow-on finite-dimensional example.",Type-check the module sides and compute a tensor product that is not merely an outer product of vectors.,Generator–relation tensor builder with typed left/right actions and pure-vs-sum examples.,MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
138,Wedderburn decomposition,algebra-wedderburn,"navTitle exact match: ""Wedderburn decomposition""",Modules & representations,Algebras & tensor products,P2,PARTIAL_ADVANCED,"Advanced material has a worked illustration or proof roadmap, but remains compressed and source-dependent.",The finite-dimensional assumptions and opposite-ring issue are treated responsibly. The proof remains too compressed for an initial encounter with semisimple algebras.,Teach simple versus semisimple modules and isotypic components first. Compute matrix units and the regular module of Mₙ(F); then track the opposite ring through the proof and exhibit an actual group-algebra block map.,"Distinguish algebra blocks, dimensions of simple modules and multiplicities in the regular module.",Semisimple algebra block decomposition with simple modules and matrix blocks synchronized.,MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
139,Radicals & module layers,algebra-radical,"navTitle exact match: ""Radicals & module layers""",Modules & representations,Algebras & tensor products,P2,PARTIAL_ADVANCED,"Advanced material has a worked illustration or proof roadmap, but remains compressed and source-dependent.","The finite-dimensional radical statements are useful, but rad M, soc M and their iterated layers need definitions before their formulas.","Work the natural T₂(F)-module with explicit matrices, its socle and quotient. Explain why semisimple successive layers do not imply a split module. Treat unitization, nilpotent-span results and matrix-ring module equivalence as separate extensions.",Compute a radical/socle filtration and identify the nonsplit extension data that the layer dimensions omit.,Ideal/submodule lattice with ascending/descending chains and hypothesis-aware theorem overlays.,MH3220; URECA Y2; Odyssey Y1,E6-modules-representations,M,pending,
140,Functions & equivalence,foundations-functions,"id exact match: ""foundations-functions""",Maps & quotients,Foundations,NEW_BRIDGE,PRESENT_BRIDGE_NEEDS_EXPANSION,Present in the current 143-lesson catalogue; useful but should anchor a prerequisite-aware unit.,"A valuable missing prerequisite bridge is now present. It should become the actual entry point to well-defined maps, fibers, equivalence relations and quotients, not merely one more catalogue page.","Turn it into a short mastery unit with map/non-map sorting, fiber tracing, equivalence-class construction and a well-definedness checkpoint used by every quotient lesson.","A learner can identify domain/codomain, compute fibers, verify an equivalence relation and explain why a proposed quotient operation is or is not well defined.",Function/fiber machine connected directly to an equivalence-partition and quotient-object view.,Cross-source foundation,E2-maps-quotients,M,guided-content and foundation laboratory delivered; full concept gate pending,Issue #32 authored teaching; Issue #33; lib/algebra/lab-contracts.json#foundations-functions; tests/foundation-labs.test.mjs; tests/browser/foundation-labs.spec.mjs. Finite foundation experiment verified; final per-concept review and remaining teaching requirements stay open.
141,Bases & linear maps,foundations-linear-algebra,"id exact match: ""foundations-linear-algebra""",Modules & representations,Foundations,NEW_BRIDGE,PRESENT_BRIDGE_NEEDS_EXPANSION,Present in the current 143-lesson catalogue; useful but should anchor a prerequisite-aware unit.,"The bridge repairs a major prerequisite gap, but one lesson cannot carry all linear-algebra dependencies used later by representations, characters, tensors and modules.","Split into coordinates/bases, kernels and images, invariant subspaces, eigenvalues/diagonalisation, trace and tensor prerequisites. Add diagnostics so advanced routes can skip only demonstrated competencies.","A learner can read a matrix as a map, find kernel/image, test invariance, use rank–nullity and connect trace/eigenvalues to representation examples.","Synchronized basis vectors, matrix columns, image/kernel geometry and invariant-line tests.",URECA Y2; MH3220 prerequisite,E6-modules-representations,M,guided foundation bridge delivered; split prerequisite coverage pending,"Guided matrix, kernel/image, rank-nullity, trace and invariant-line checks plus V15; the requested split into dedicated prerequisite lessons remains for final audit."
142,Generators & exact sequences,modules-generators,"id exact match: ""modules-generators""",Modules & representations,Modules & linear actions,NEW_BRIDGE,PRESENT_BRIDGE_NEEDS_EXPANSION,Present in the current 143-lesson catalogue; useful but should anchor a prerequisite-aware unit.,"This is a useful bridge, especially the distinction between generated and free. It still introduces exactness and splitting too abruptly for readers who have only seen quotient modules.",Create a three-stage sequence: presentations and relations; exactness as image=kernel; splitting and direct sums. Include one nonsplit example and a diagram chase.,"A learner can read exactness at each object, distinguish finite generation from freeness and prove the direct-sum conclusion from a splitting map.",Generator–relation board and exact-sequence flow diagram with kernel/image highlighting.,MH3220; Odyssey Y1,E6-modules-representations,M,guided lesson and mathematical laboratory delivered,Issue #55; lib/algebra/guided-lessons.json#modules-generators; tests/module-action-board.test.mjs; tests/browser/module-action-board.spec.mjs
143,Cauchy’s theorem,groups-cauchy,"id exact match: ""mh2220-cauchy""",Groups & symmetry,Local & normal structure,NEW_BRIDGE,PRESENT_BRIDGE_NEEDS_EXPANSION,Present in the current 143-lesson catalogue; useful but should anchor a prerequisite-aware unit.,The standalone bridge is a good addition because Cauchy is repeatedly used by Sylow and finite-group arguments. It should be positioned before Sylow and offer two proof lenses rather than appear as a detached theorem.,Give the cyclic-shift action proof and a second proof route where appropriate; add examples that diagnose exactly why the converse is trivial but not equivalent to Sylow.,"A learner can state the hypotheses, execute the orbit-counting proof and use the theorem without confusing existence of one element with classification of Sylow subgroups.",Cyclic action on p-tuples with fixed points and orbit sizes counted live.,MH2220; Odyssey Y1 §7,E5-advanced-groups,M,guided teaching gate delivered; tuple-action laboratory pending,lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; issue #46; cyclic-shift proof and prime/composite boundary
